seed	k	n	survive_bf	edges_bf	survive_pad	edges_pad	
4	40	80	23	38	21	45	
4	40	90	23	38	21	47	
4	40	100	24	39	22	52	
4	60	0	12	12	12	12	
4	60	10	23	33	21	30	
4	60	20	26	39	25	36	
4	60	30	26	42	25	43	
4	60	40	26	44	25	45	
4	60	50	26	44	25	46	
4	60	60	26	44	25	49	
4	60	70	28	49	27	51	
4	60	80	28	49	27	52	
4	60	90	28	50	27	54	
4	60	100	28	50	27	56	
4	80	0	13	13	13	13	
4	80	10	21	27	20	25	
4	80	20	28	40	22	37	
4	80	30	29	43	23	42	
4	80	40	33	50	26	50	
4	80	50	35	55	29	54	
4	80	60	35	57	29	58	
4	80	70	38	62	33	65	
4	80	80	38	63	33	67	
4	80	90	39	64	33	68	
4	80	100	39	65	34	72	
4	100	0	13	13	13	13	
4	100	10	26	42	26	39	
4	100	20	33	52	31	48	
4	100	30	34	56	33	55	
4	100	40	38	61	34	56	
4	100	50	40	65	35	60	
4	100	60	41	68	35	63	
4	100	70	41	68	35	66	
4	100	80	41	70	35	67	
4	100	90	41	70	36	69	
4	100	100	41	70	38	73	
5	20	0	6	6	6	6	
5	20	10	9	14	9	15	
5	20	20	10	15	9	18	
5	20	30	11	17	9	21	
5	20	40	11	17	10	23	
5	20	50	11	17	10	25	
5	20	60	11	17	10	27	
5	20	70	12	19	11	29	
5	20	80	12	19	11	29	
5	20	90	12	19	11	31	
5	20	100	12	19	11	32	
5	40	0	11	11	11	11	
5	40	10	16	25	14	21	
5	40	20	20	30	15	25	
5	40	30	19	30	16	30	
5	40	40	19	30	16	32	
5	40	50	19	30	16	34	
5	40	60	19	30	16	36	
5	40	70	19	30	16	37	
5	40	80	19	30	16	39	
5	40	90	21	33	17	39	
5	40	100	21	34	18	39	
5	60	0	11	11	11	11	
5	60	10	21	32	19	31	
5	60	20	23	37	21	38	
5	60	30	26	43	24	46	
5	60	40	28	46	25	52	
5	60	50	28	47	26	52	
5	60	60	28	48	26	54	
5	60	70	30	50	29	57	
5	60	80	30	51	30	60	
5	60	90	30	51	30	62	
5	60	100	30	51	30	64	
5	80	0	11	11	11	11	
5	80	10	26	38	24	36	
5	80	20	32	49	27	44	
5	80	30	33	54	31	52	
5	80	40	33	55	31	54	
5	80	50	33	58	31	58	
5	80	60	33	60	32	61	
5	80	70	35	63	33	63	
5	80	80	35	68	34	68	
5	80	90	35	68	34	71	
5	80	100	35	68	34	77	
5	100	0	13	13	13	13	
5	100	10	29	41	23	34	
5	100	20	38	57	30	49	
5	100	30	39	62	31	57	
5	100	40	39	64	31	62	
5	100	50	43	70	34	66	
5	100	60	44	71	34	68	
5	100	70	44	71	34	72	
5	100	80	44	72	35	75	
5	100	90	44	72	35	75	
5	100	100	44	73	35	76	
6	20	0	8	8	8	8	
6	20	10	11	17	11	18	
6	20	20	11	17	11	22	
6	20	30	12	19	12	23	
6	20	40	12	19	12	26	
6	20	50	12	19	12	26	
6	20	60	12	19	12	25	
6	20	70	12	19	12	26	
6	20	80	12	19	12	27	
6	20	90	12	19	12	28	
6	20	100	12	19	12	27	
6	40	0	10	10	10	10	
6	40	10	15	21	15	23	
6	40	20	18	27	17	29	
6	40	30	18	28	17	31	
6	40	40	18	30	17	35	
6	40	50	18	31	17	36	
6	40	60	18	31	17	38	
6	40	70	19	32	18	41	
6	40	80	19	32	18	41	
6	40	90	19	32	18	43	
6	40	100	19	32	19	46	
6	60	0	12	12	12	12	
6	60	10	16	20	16	20	
6	60	20	22	32	21	31	
6	60	30	22	33	21	32	
6	60	40	25	38	23	37	
6	60	50	26	40	24	39	
6	60	60	27	42	24	40	
6	60	70	28	44	24	41	
6	60	80	28	45	25	44	
6	60	90	29	47	27	47	
6	60	100	30	48	27	53	
6	80	0	14	14	14	14	
6	80	10	28	40	27	39	
6	80	20	32	48	30	47	
6	80	30	34	52	32	54	
6	80	40	36	56	32	56	
6	80	50	37	57	35	60	
6	80	60	37	58	35	63	
6	80	70	40	63	36	66	
6	80	80	40	63	36	67	
6	80	90	40	64	36	70	
6	80	100	40	64	36	72	
6	100	0	14	14	14	14	
6	100	10	31	41	30	41	
6	100	20	34	47	32	47	
6	100	30	38	59	36	59	
6	100	40	40	61	36	61	
6	100	50	42	68	38	65	
6	100	60	44	72	40	69	
6	100	70	44	73	41	72	
6	100	80	46	77	43	78	
6	100	90	46	77	43	80	
6	100	100	46	78	42	82	
7	20	0	8	8	8	8	
7	20	10	9	12	8	11	
7	20	20	12	17	12	19	
7	20	30	14	20	14	21	
7	20	40	14	20	14	22	
7	20	50	14	20	14	24	
7	20	60	14	20	14	25	
7	20	70	14	20	14	28	
7	20	80	14	20	14	27	
7	20	90	14	20	14	27	
7	20	100	14	20	14	26	
7	40	0	13	13	13	13	
7	40	10	16	24	15	22	
7	40	20	20	30	18	29	
7	40	30	21	34	19	36	
7	40	40	21	34	20	40	
7	40	50	21	34	21	43	
7	40	60	21	34	21	43	
7	40	70	21	34	21	44	
7	40	80	21	35	21	45	
7	40	90	21	35	21	46	
7	40	100	21	35	21	47	
7	60	0	11	11	11	11	
7	60	10	22	30	21	29	
7	60	20	24	35	22	33	
7	60	30	27	40	23	36	
7	60	40	30	48	29	49	
7	60	50	30	49	29	49	
7	60	60	30	49	28	51	
7	60	70	30	50	28	54	
7	60	80	30	50	28	54	
7	60	90	30	50	28	56	
7	60	100	30	50	29	57	
7	80	0	13	13	13	13	
7	80	10	23	33	23	33	
7	80	20	32	49	30	47	
7	80	30	36	54	33	54	
7	80	40	37	58	34	61	
7	80	50	38	59	34	62	
7	80	60	38	62	36	70	
7	80	70	38	62	36	68	
7	80	80	38	62	36	69	
7	80	90	38	62	36	70	
7	80	100	39	63	36	72	
7	100	0	13	13	13	13	
7	100	10	27	41	24	38	
7	100	20	32	54	32	53	
7	100	30	35	59	34	60	
7	100	40	38	67	36	65	
7	100	50	38	69	36	68	
7	100	60	38	70	36	73	
7	100	70	38	72	36	75	
7	100	80	38	74	36	78	
7	100	90	38	74	36	79	
7	100	100	40	77	38	83	
8	20	0	7	7	7	7	
8	20	10	9	14	9	15	
8	20	20	12	18	9	18	
8	20	30	12	18	9	19	
8	20	40	12	19	9	20	
8	20	50	12	19	10	21	
8	20	60	12	19	10	22	
8	20	70	12	19	12	24	
8	20	80	12	19	12	25	
8	20	90	12	19	12	25	
8	20	100	12	19	12	27	
8	40	0	10	10	10	10	
8	40	10	18	26	17	25	
8	40	20	18	27	17	28	
8	40	30	19	31	18	31	
8	40	40	19	32	18	32	
8	40	50	19	32	19	35	
8	40	60	20	33	20	39	
8	40	70	22	36	21	40	
8	40	80	22	36	21	42	
8	40	90	22	36	21	43	
8	40	100	22	36	21	43	
8	60	0	11	11	11	11	
8	60	10	23	33	22	31	
8	60	20	25	37	23	37	
8	60	30	25	38	23	41	
8	60	40	25	39	23	43	
8	60	50	25	39	23	44	
8	60	60	26	40	23	46	
8	60	70	26	40	23	50	
8	60	80	26	41	24	50	
8	60	90	26	42	24	50	
8	60	100	26	43	24	49	
8	80	0	13	13	13	13	
8	80	10	22	32	20	30	
8	80	20	28	47	27	45	
8	80	30	29	50	29	50	
8	80	40	32	55	30	51	
8	80	50	33	56	30	51	
8	80	60	33	58	30	52	
8	80	70	34	60	31	57	
8	80	80	36	64	34	62	
8	80	90	37	66	35	65	
8	80	100	37	67	35	66	
8	100	0	16	16	16	16	
8	100	10	35	51	33	49	
8	100	20	40	63	34	57	
8	100	30	44	68	37	61	
8	100	40	44	69	37	64	
8	100	50	48	76	41	72	
8	100	60	49	79	42	76	
8	100	70	49	79	43	79	
8	100	80	49	80	44	84	
8	100	90	49	81	45	88	
8	100	100	49	81	45	89	
9	20	0	8	8	8	8	
9	20	10	10	15	9	14	
9	20	20	10	16	9	19	
9	20	30	10	16	10	21	
9	20	40	10	17	10	21	
9	20	50	10	17	10	21	
9	20	60	10	17	10	22	
9	20	70	10	17	10	23	
9	20	80	10	17	10	21	
9	20	90	10	18	10	23	
