seed	BD	V	N	t_sec	n_invisible	p_invisible	
7	6	10	40	0.2964	0	0	
7	6	10	50	0.278	0	0	
7	6	10	60	0.3256	0	0	
7	6	10	70	0.3276	1	0.1	
7	6	10	80	0.3744	0	0	
7	6	10	90	0.3432	0	0	
7	6	10	100	0.4524	0	0	
7	6	20	0	0.7196	20	1	
7	6	20	10	0.7176	11	0.55	
7	6	20	20	0.6552	7	0.35	
7	6	20	30	0.6552	8	0.4	
7	6	20	40	0.6552	5	0.25	
7	6	20	50	0.5632	3	0.15	
7	6	20	60	0.7016	5	0.25	
7	6	20	70	0.7176	3	0.15	
7	6	20	80	0.6416	2	0.1	
7	6	20	90	0.625	3	0.15	
7	6	20	100	0.624	2	0.1	
7	6	30	0	1.3124	30	1	
7	6	30	10	0.9694	14	0.466666666666667	
7	6	30	20	0.7966	6	0.2	
7	6	30	30	0.859	9	0.3	
7	6	30	40	0.8278	8	0.266666666666667	
7	6	30	50	0.8746	6	0.2	
7	6	30	60	0.8746	8	0.266666666666667	
7	6	30	70	0.84	5	0.166666666666667	
7	6	30	80	0.8434	5	0.166666666666667	
7	6	30	90	0.8278	4	0.133333333333333	
7	6	30	100	0.7966	4	0.133333333333333	
7	6	40	0	1.5288	40	1	
7	6	40	10	1.2652	20	0.5	
7	6	40	20	1.2656	17	0.425	
7	6	40	30	1.2656	18	0.45	
7	6	40	40	1.1428	11	0.275	
7	6	40	50	1.3438	14	0.35	
7	6	40	60	1.3416	9	0.225	
7	6	40	70	1.2324	5	0.125	
7	6	40	80	1.2636	8	0.2	
7	6	40	90	1.1546	10	0.25	
7	6	40	100	1.093	10	0.25	
7	6	50	0	2.028	50	1	
7	6	50	10	1.8574	35	0.7	
7	6	50	20	1.6966	25	0.5	
7	6	50	30	1.5912	20	0.4	
7	6	50	40	1.4976	17	0.34	
7	6	50	50	1.3544	14	0.28	
7	6	50	60	1.5132	16	0.32	
7	6	50	70	1.3104	12	0.24	
7	6	50	80	1.326	11	0.22	
7	6	50	90	1.3432	11	0.22	
7	6	50	100	1.2948	10	0.2	
7	6	60	0	2.2752	60	1	
7	6	60	10	1.9676	38	0.633333333333333	
7	6	60	20	2.1355	45	0.75	
7	6	60	30	1.7784	25	0.416666666666667	
7	6	60	40	1.775	29	0.483333333333333	
7	6	60	50	1.9038	23	0.383333333333333	
7	6	60	60	1.7784	21	0.35	
7	6	60	70	1.7474	20	0.333333333333333	
7	6	60	80	1.6848	19	0.316666666666667	
7	6	60	90	1.7628	19	0.316666666666667	
7	6	60	100	1.686	15	0.25	
7	6	70	0	2.5967	70	1	
7	6	70	10	2.7675	50	0.714285714285714	
7	6	70	20	2.0904	28	0.4	
7	6	70	30	2.0134	31	0.442857142857143	
7	6	70	40	1.995	26	0.371428571428571	
7	6	70	50	2.0436	30	0.428571428571429	
7	6	70	60	1.921	21	0.3	
7	6	70	70	1.9656	25	0.357142857142857	
7	6	70	80	2.0124	23	0.328571428571429	
7	6	70	90	2.0419	23	0.328571428571429	
7	6	70	100	1.95	17	0.242857142857143	
7	6	80	0	3.1356	80	1	
7	6	80	10	2.8082	57	0.7125	
7	6	80	20	2.5428	44	0.55	
7	6	80	30	2.311	37	0.4625	
7	6	80	40	2.5272	40	0.5	
7	6	80	50	2.386	35	0.4375	
7	6	80	60	2.4034	31	0.3875	
7	6	80	70	2.1676	24	0.3	
7	6	80	80	2.496	31	0.3875	
7	6	80	90	2.229	22	0.275	
7	6	80	100	2.3908	28	0.35	
7	6	90	0	3.4896	90	1	
7	6	90	10	2.9328	58	0.644444444444444	
7	6	90	20	2.6084	43	0.477777777777778	
7	6	90	30	2.8392	48	0.533333333333333	
7	6	90	40	2.617	39	0.433333333333333	
7	6	90	50	2.4648	29	0.322222222222222	
7	6	90	60	2.4654	30	0.333333333333333	
7	6	90	70	2.3898	27	0.3	
7	6	90	80	2.3216	22	0.244444444444444	
7	6	90	90	2.2348	18	0.2	
7	6	90	100	2.2758	22	0.244444444444444	
7	6	100	0	3.7748	100	1	
7	6	100	10	3.5056	68	0.68	
7	6	100	20	3.0264	53	0.53	
7	6	100	30	3.1806	59	0.59	
7	6	100	40	3.0908	42	0.42	
7	6	100	50	3.0734	49	0.49	
7	6	100	60	2.9788	44	0.44	
7	6	100	70	3.0108	43	0.43	
7	6	100	80	2.8716	42	0.42	
7	6	100	90	2.8236	33	0.33	
7	6	100	100	2.697	30	0.3	
8	6	10	0	0.3764	10	1	
8	6	10	10	0.4056	3	0.3	
8	6	10	20	0.3744	1	0.1	
8	6	10	30	0.333	1	0.1	
8	6	10	40	0.3612	0	0	
8	6	10	50	0.2964	0	0	
8	6	10	60	0.2964	0	0	
8	6	10	70	0.312	0	0	
8	6	10	80	0.312	0	0	
8	6	10	90	0.3744	0	0	
8	6	10	100	0.3276	0	0	
8	6	20	0	0.7488	20	1	
8	6	20	10	0.7498	13	0.65	
8	6	20	20	0.6416	10	0.5	
8	6	20	30	0.6864	6	0.3	
8	6	20	40	0.6864	7	0.35	
8	6	20	50	0.5938	6	0.3	
8	6	20	60	0.7068	5	0.25	
8	6	20	70	0.702	4	0.2	
8	6	20	80	0.6552	6	0.3	
8	6	20	90	0.6864	4	0.2	
8	6	20	100	0.624	6	0.3	
8	6	30	0	1.0706	30	1	
8	6	30	10	0.9984	19	0.633333333333333	
8	6	30	20	0.8736	12	0.4	
8	6	30	30	0.9828	12	0.4	
8	6	30	40	0.9672	13	0.433333333333333	
8	6	30	50	0.9054	10	0.333333333333333	
8	6	30	60	0.9502	11	0.366666666666667	
8	6	30	70	0.9048	9	0.3	
8	6	30	80	0.9204	8	0.266666666666667	
8	6	30	90	0.9048	9	0.3	
8	6	30	100	0.8424	5	0.166666666666667	
8	6	40	0	1.6786	40	1	
8	6	40	10	1.3426	25	0.625	
8	6	40	20	1.3572	16	0.4	
8	6	40	30	1.1048	9	0.225	
8	6	40	40	1.0764	8	0.2	
8	6	40	50	1.1856	13	0.325	
8	6	40	60	1.1076	9	0.225	
8	6	40	70	1.0738	7	0.175	
8	6	40	80	1.1074	7	0.175	
8	6	40	90	1.2168	11	0.275	
8	6	40	100	1.1564	8	0.2	
8	6	50	0	1.8408	50	1	
8	6	50	10	1.696	32	0.64	
8	6	50	20	1.6068	24	0.48	
8	6	50	30	1.6078	21	0.42	
8	6	50	40	1.5572	20	0.4	
8	6	50	50	1.483	12	0.24	
8	6	50	60	1.3104	11	0.22	
8	6	50	70	1.3474	11	0.22	
8	6	50	80	1.2434	11	0.22	
8	6	50	90	1.2334	7	0.14	
8	6	50	100	1.2656	11	0.22	
8	6	60	0	2.6842	60	1	
8	6	60	10	1.8736	33	0.55	
8	6	60	20	2.0748	30	0.5	
8	6	60	30	1.7318	23	0.383333333333333	
8	6	60	40	1.8252	19	0.316666666666667	
8	6	60	50	1.5912	16	0.266666666666667	
8	6	60	60	1.7688	17	0.283333333333333	
8	6	60	70	1.5912	12	0.2	
8	6	60	80	1.716	15	0.25	
8	6	60	90	1.6312	12	0.2	
8	6	60	100	1.5288	7	0.116666666666667	
8	6	70	0	2.3752	70	1	
8	6	70	10	2.3186	46	0.657142857142857	
8	6	70	20	2.028	36	0.514285714285714	
8	6	70	30	2.1062	33	0.471428571428571	
8	6	70	40	2.0592	29	0.414285714285714	
8	6	70	50	2.2404	27	0.385714285714286	
8	6	70	60	2.1882	29	0.414285714285714	
8	6	70	70	2.0124	27	0.385714285714286	
8	6	70	80	1.9502	22	0.314285714285714	
8	6	70	90	1.9188	19	0.271428571428571	
8	6	70	100	1.832	17	0.242857142857143	
8	6	80	0	3.0078	80	1	
8	6	80	10	2.8952	51	0.6375	
8	6	80	20	2.7768	50	0.625	
8	6	80	30	2.8374	40	0.5	
8	6	80	40	2.2464	26	0.325	
8	6	80	50	2.389	33	0.4125	
8	6	80	60	2.0456	21	0.2625	
8	6	80	70	2.1948	20	0.25	
8	6	80	80	2.1226	19	0.2375	
8	6	80	90	2.3254	21	0.2625	
8	6	80	100	2.2602	22	0.275	
8	6	90	0	3.278	90	1	
8	6	90	10	3.2254	64	0.711111111111111	
8	6	90	20	2.587	38	0.422222222222222	
8	6	90	30	2.779	41	0.455555555555556	
8	6	90	40	2.5896	41	0.455555555555556	
8	6	90	50	2.9848	38	0.422222222222222	
8	6	90	60	2.5868	31	0.344444444444444	
8	6	90	70	2.8236	25	0.277777777777778	
8	6	90	80	2.4156	26	0.288888888888889	
8	6	90	90	2.418	24	0.266666666666667	
8	6	90	100	2.3548	21	0.233333333333333	
8	6	100	0	3.5998	100	1	
8	6	100	10	3.555	73	0.73	
8	6	100	20	3.3756	67	0.67	
8	6	100	30	3.089	56	0.56	
8	6	100	40	3.0586	49	0.49	
8	6	100	50	3.0352	49	0.49	
8	6	100	60	2.9486	43	0.43	
8	6	100	70	2.886	40	0.4	
8	6	100	80	3.1036	37	0.37	
8	6	100	90	2.7456	32	0.32	
8	6	100	100	2.7614	28	0.28	
9	6	10	0	0.5178	10	1	
9	6	10	10	0.391	2	0.2	
9	6	10	20	0.336	1	0.1	
9	6	10	30	0.3758	2	0.2	
9	6	10	40	0.39	2	0.2	
9	6	10	50	0.3598	2	0.2	
9	6	10	60	0.4524	0	0	
9	6	10	70	0.3598	0	0	
9	6	10	80	0.3452	0	0	
9	6	10	90	0.3588	0	0	
9	6	10	100	0.3442	0	0	
9	6	20	0	0.7996	20	1	
9	6	20	10	0.7674	8	0.4	
9	6	20	20	0.625	2	0.1	
9	6	20	30	0.7186	3	0.15	
9	6	20	40	0.5948	2	0.1	
9	6	20	50	0.5422	1	0.05	
9	6	20	60	0.5928	2	0.1	
9	6	20	70	0.5626	1	0.05	
9	6	20	80	0.626	1	0.05	
9	6	20	90	0.548	1	0.05	
9	6	20	100	0.5334	0	0	
9	6	30	0	1.1576	30	1	
9	6	30	10	0.8902	9	0.3	
9	6	30	20	1.1906	11	0.366666666666667	
9	6	30	30	0.937	6	0.2	
9	6	30	40	1.0004	6	0.2	
9	6	30	50	1.0012	6	0.2	
9	6	30	60	1.093	8	0.266666666666667	
9	6	30	70	0.7342	1	0.0333333333333333	
9	6	30	80	0.8122	4	0.133333333333333	
9	6	30	90	0.8112	2	0.0666666666666667	
9	6	30	100	0.7776	0	0	
9	6	40	0	1.405	40	1	
9	6	40	10	1.482	24	0.6	
9	6	40	20	1.2472	19	0.475	
9	6	40	30	1.5364	15	0.375	
9	6	40	40	1.1814	14	0.35	
9	6	40	50	1.1526	6	0.15	
9	6	40	60	1.0706	5	0.125	
9	6	40	70	1.093	8	0.2	
9	6	40	80	1.0452	5	0.125	
9	6	40	90	1.092	7	0.175	
9	6	40	100	1.1408	4	0.1	
9	6	50	0	1.7004	50	1	
9	6	50	10	1.8096	34	0.68	
9	6	50	20	1.6	23	0.46	
9	6	50	30	1.4976	21	0.42	
9	6	50	40	1.5756	17	0.34	
9	6	50	50	1.3908	12	0.24	
9	6	50	60	1.431	13	0.26	
9	6	50	70	1.3416	9	0.18	
9	6	50	80	1.4976	20	0.4	
9	6	50	90	1.454	15	0.3	
9	6	50	100	1.56	17	0.34	
