seed	BD	V	N	t_sec	n_invisible	p_invisible	
2	6	30	30	0.9664	13	0.433333333333333	
2	6	30	40	1.0296	13	0.433333333333333	
2	6	30	50	0.8424	7	0.233333333333333	
2	6	30	60	0.8736	8	0.266666666666667	
2	6	30	70	0.8736	5	0.166666666666667	
2	6	30	80	0.9516	9	0.3	
2	6	30	90	1.0152	4	0.133333333333333	
2	6	30	100	1.092	9	0.3	
2	6	40	0	1.4518	40	1	
2	6	40	10	1.2244	18	0.45	
2	6	40	20	1.3332	20	0.5	
2	6	40	30	1.2178	9	0.225	
2	6	40	40	1.3738	16	0.4	
2	6	40	50	1.063	11	0.275	
2	6	40	60	1.1242	8	0.2	
2	6	40	70	1.249	13	0.325	
2	6	40	80	1.1856	7	0.175	
2	6	40	90	1.0764	5	0.125	
2	6	40	100	1.1476	7	0.175	
2	6	50	0	1.7862	50	1	
2	6	50	10	1.6078	29	0.58	
2	6	50	20	1.6848	26	0.52	
2	6	50	30	1.5082	19	0.38	
2	6	50	40	1.4998	14	0.28	
2	6	50	50	1.4528	17	0.34	
2	6	50	60	1.326	10	0.2	
2	6	50	70	1.2784	8	0.16	
2	6	50	80	1.2168	6	0.12	
2	6	50	90	1.3104	12	0.24	
2	6	50	100	1.1076	3	0.06	
2	6	60	0	2.34	60	1	
2	6	60	10	2.0973	38	0.633333333333333	
2	6	60	20	2.0748	30	0.5	
2	6	60	30	1.8096	23	0.383333333333333	
2	6	60	40	1.5612	17	0.283333333333333	
2	6	60	50	1.6536	16	0.266666666666667	
2	6	60	60	1.6068	14	0.233333333333333	
2	6	60	70	1.6508	15	0.25	
2	6	60	80	1.5796	10	0.166666666666667	
2	6	60	90	1.6894	11	0.183333333333333	
2	6	60	100	1.6465	11	0.183333333333333	
2	6	70	0	2.7164	70	1	
2	6	70	10	2.4837	44	0.628571428571429	
2	6	70	20	2.3566	37	0.528571428571429	
2	6	70	30	2.1687	35	0.5	
2	6	70	40	1.9988	24	0.342857142857143	
2	6	70	50	2.1345	24	0.342857142857143	
2	6	70	60	1.9968	23	0.328571428571429	
2	6	70	70	2.0748	22	0.314285714285714	
2	6	70	80	1.9805	19	0.271428571428571	
2	6	70	90	2.0592	17	0.242857142857143	
2	6	70	100	1.9502	15	0.214285714285714	
2	6	80	0	3.0725	80	1	
2	6	80	10	2.8083	55	0.6875	
2	6	80	20	2.5302	43	0.5375	
2	6	80	30	2.3197	34	0.425	
2	6	80	40	2.2162	25	0.3125	
2	6	80	50	2.3118	31	0.3875	
2	6	80	60	2.1023	22	0.275	
2	6	80	70	2.1528	23	0.2875	
2	6	80	80	2.1863	23	0.2875	
2	6	80	90	2.34	19	0.2375	
2	6	80	100	2.2613	22	0.275	
2	6	90	0	3.5568	90	1	
2	6	90	10	3.1163	50	0.555555555555556	
2	6	90	20	2.9653	48	0.533333333333333	
2	6	90	30	2.498	31	0.344444444444444	
2	6	90	40	2.5879	33	0.366666666666667	
2	6	90	50	2.5156	32	0.355555555555556	
2	6	90	60	2.6815	33	0.366666666666667	
2	6	90	70	2.5906	27	0.3	
2	6	90	80	2.4319	23	0.255555555555556	
2	6	90	90	2.4024	23	0.255555555555556	
2	6	90	100	2.4631	23	0.255555555555556	
2	6	100	0	4.3216	100	1	
2	6	100	10	3.7619	76	0.76	
